,A_G,A_L,Revenue_G,Revenue_L
118,0.0,0.1,98.03100257432921,-273.806075077253
119,0.0,0.1,97.00421510304376,-237.55316227784985
120,0.0,0.1,98.1384604388185,-215.2647742393344
121,0.0,0.1,97.81426540644622,-249.17474284720112
122,0.0,0.1,97.58622704679462,-217.83410063948486
123,0.0,0.1,97.91744738869991,-265.85504344421855
124,0.0,0.1,95.53805490862725,-281.663506819911
125,0.0,0.1,98.19437704389924,-250.68631650473844
126,0.0,0.1,97.23885721520648,-282.2040884944523
127,0.0,0.1,98.31611592053875,-229.52897003597656
128,0.0,0.1,96.6030381264828,-292.5985734114061
129,0.0,0.1,95.90174900262625,-260.453306701602
130,0.0,0.1,95.10487174556752,-254.71905786942997
131,0.0,0.1,97.90710393150233,-234.47360310170993
132,0.0,0.1,97.27873850606575,-238.67270384633244
133,0.0,0.1,98.6174837491413,-308.90722688454844
134,0.0,0.1,96.7585911042469,-220.5637204873005
135,0.0,0.1,97.85399064566349,-244.64088438231974
136,0.0,0.1,95.65078642529929,-268.2440499122018
137,0.0,0.1,95.81439718879462,-231.66604817089654
138,0.0,0.1,94.79822236585181,-251.3859538523037
139,0.0,0.1,94.04496706449422,-230.60943820098555
140,0.0,0.1,94.99650451232766,-246.68025907057984
141,0.0,0.1,97.06585619127885,-279.79531954970315
142,0.0,0.1,96.39537113489129,-241.87265153039533
143,0.0,0.1,98.15753790091203,-257.3473212187422
144,0.0,0.1,97.655863915378,-242.20221180647604
145,0.0,0.1,97.87983649311748,-264.31803833766435
146,0.0,0.1,96.92724215529769,-256.99729712573185
147,0.0,0.1,98.01317611299493,-271.32708285982847
148,0.0,0.1,96.23306455603758,-246.80586410715176
149,0.0,0.1,98.25691222280015,-265.168491431317
150,0.0,0.1,94.51201582649082,-258.6814689409966
151,0.0,0.1,95.73722467943247,-247.806942073958
152,0.0,0.1,94.52584543574936,-217.60172693554077
153,0.0,0.1,93.2442456903275,-303.56195530962026
154,0.0,0.1,97.3960430818518,-253.98693375290657
155,0.0,0.1,96.89303966423522,-221.941095556407
156,0.0,0.1,96.58867150858858,-230.84923779404411
157,0.0,0.1,95.56821302279846,-255.1435199583271
158,0.0,0.1,93.77169324519654,-260.7807761335963
159,0.0,0.1,96.48419363506339,-277.3367534042096
160,0.0,0.1,97.59289376838284,-289.96705683297415
161,0.0,0.1,100.08900523657913,-268.34709685131446
162,0.0,0.1,96.9027196228098,-252.07883900596505
163,0.0,0.1,93.69470311908042,-267.1540588826883
164,0.0,0.1,99.73590807076572,-237.00311511040056
165,0.0,0.1,97.9576446736458,-244.9699801441415
166,0.0,0.1,98.30969503942565,-271.00985044701974
167,0.0,0.1,96.52135723181887,-284.29361688096793
168,0.0,0.1,96.4032305975785,-219.13100260482202
169,0.0,0.1,94.54249226869037,-228.0835617578682
170,0.0,0.1,96.15763629587258,-212.53161413424814
171,0.0,0.1,96.86091022816575,-261.11884228740485
172,0.0,0.1,98.79584757817555,-260.21889566847744
173,0.0,0.1,96.4426975652049,-261.9847484833211
174,0.0,0.1,97.58497485154574,-236.54732490433406
175,0.0,0.1,93.60592085329102,-217.78458773805477
176,0.0,0.1,97.1982463556686,-303.3949588515726
177,0.0,0.1,96.43264538442826,-292.06385706003306
178,0.0,0.1,96.32590971897609,-252.35206470189428
179,0.0,0.1,97.27568037203193,-280.1330946819057
180,0.0,0.1,97.97345943551154,-246.83913241762932
181,0.0,0.1,93.743004459091,-272.22643983832853
182,0.0,0.1,95.3137311336232,-268.6285465196623
183,0.0,0.1,97.05010089717,-265.28940880714083
184,0.0,0.1,93.5167421679389,-279.65899126503444
185,0.0,0.1,94.35433309728529,-261.7755638754386
186,0.0,0.1,96.83782960896379,-262.43842144348594
187,0.0,0.1,97.79948215456298,-247.1135667809506
188,0.0,0.1,99.6594333961115,-266.36395813473996
189,0.0,0.1,96.4418108606627,-234.563799723678
190,0.0,0.1,97.03958767273893,-220.17944812978845
191,0.0,0.1,97.82140275592731,-271.1269278650847
192,0.0,0.1,96.49853477642976,-254.3459408478711
193,0.0,0.1,94.72023069777175,-266.0701033184163
194,0.0,0.1,96.9126773747509,-260.03828503264083
195,0.0,0.1,95.94415530929894,-252.680049567884
196,0.0,0.1,95.06199532375321,-257.8398528572447
197,0.0,0.1,93.57821413742997,-249.13084552600756
198,0.0,0.1,96.61003061151798,-224.8166783251695
199,0.0,0.1,92.27333810534557,-244.74063243514172
200,0.0,0.1,94.74893007059279,-276.15475424158234
201,0.0,0.1,94.97579168332103,-239.01926036102807
202,0.0,0.1,93.92360133293357,-283.2910054304693
203,0.0,0.1,96.34494429085184,-288.64229488026257
204,0.0,0.1,93.54741252026669,-251.7381299257501
205,0.0,0.1,96.90403723632376,-231.66547022852728
206,0.0,0.1,97.04147565326227,-275.9603401114014
207,0.0,0.1,95.42819363174195,-311.1219466406113
208,0.0,0.1,94.90285920841147,-244.45779382657062
209,0.0,0.1,99.0012140614736,-253.52661689314547
210,0.0,0.1,97.0706181387567,-286.99678299244835
211,0.0,0.1,96.59156809780794,-236.58569691309913
212,0.0,0.1,94.18893010186592,-269.75726628130246
213,0.0,0.1,97.93654233705206,-295.0492405606418
214,0.0,0.1,97.28275401003351,-260.2228935122362
215,0.0,0.1,98.0514575921963,-298.61198087498497
216,0.0,0.1,95.86442246207999,-233.44047082632903
217,0.0,0.1,97.91307445224763,-257.43052607189344
218,0.0,0.1,94.43799055267311,-246.90012228051097
219,0.0,0.1,97.56234924341824,-228.0900080812157
220,0.0,0.1,96.7814158062705,-274.2775882618946
221,0.0,0.1,94.79388686118446,-236.21638875215024
222,0.0,0.1,95.53944380775839,-272.4605988906246
223,0.0,0.1,96.80213180600094,-256.679022379169
224,0.0,0.1,94.19384968593305,-264.86896103269663
225,0.0,0.1,94.531687360752,-265.36975616924445
226,0.0,0.1,98.22516899333434,-244.04359506236534
227,0.0,0.1,95.42855799805342,-227.6586002776342
228,0.0,0.1,97.10943970586553,-254.7293737426704
229,0.0,0.1,94.46575131650323,-293.97808606243086
230,0.0,0.1,96.84612218227636,-279.76856708792553
231,0.0,0.1,95.72492197505977,-278.69061070479205
232,0.0,0.1,93.09209857915195,-272.7221001682598
233,0.0,0.1,95.80964655848236,-209.19959070898335
